List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
39,AYU0113,Kerala,"PNNM Ayurveda Medical College, Shoranur, P.O. Cheruthuruthy, Taluk Thalappilly, Distt.- Thrissur- 679531, Kerala",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) and 09 seats in 03 PG courses in the subjects namely  (i)  Shalya  tantra-  03  seats  (ii)  Kaya  chikitsa- 03  seats  (iii)  Prasuti  &  Stri  Roga  -  03  seats  course under section 28 of NCISM Act, 2020 for the academic session  2024-25  and  Letter  of  Permission  to  start 01 new PG Course with 03 seats in the subject namely Rasasastra
evam  Bhaishajya  Kalpana  from  the  academic  session 2024-25 under section 29 of NCISM Act, 2020",60,12,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 9 seats without EWS) & Letter of Permission 01 new PG course with 03 seats"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
40,AYU0114,Kerala,"Govt. Ayurveda College, M.G Road,
Taluke & District Thiruvanathapuram-695001, Kerala",Government,"Grant of Conditional Permission with 70 seats (88 seats including EWS) in UG BAMS course, 63 seats (85 seats including    EWS)    in    11    PG    courses    namely    (i) Dravyaguna   Vigyana-06   seats   (08   seats   including EWS), (ii) Rasashastra & Bhaisajya Kalpana- 12 seats (13 seats including EWS), (iii) Agad Tantra Avum Vidhi Vaidyaka-  05  seats  (06  seats  including  EWS),  (iv) Kayachikitsa-  06  seats  (08  seats  including  EWS),  (v) Ayurved Samhita, Sanskrit & Siddhanta- 06 seats (08 seats  including  EWS),  (vi)  Kaumarbhritya-Bala  Roga- 05 seats (06 seats including EWS), (vii) Shalya tantra- 03 seats (09 seats including EWS), (viii) Panchakarma- 05 seats (06 seats including EWS), (ix) Prasuti tantra & Stri  Raga-  06  seats  (08  seats  including  EWS),  (x) Swasthavritta- 06 seats (08 seats including EWS), (xi) Shalakya  Tantra-  03  seats  (05  seats  including  EWS) and 08 PG Diploma courses namely (i) Swasthavritta and  yoga  -  02  Seats  instead  of  03  seats,  (ii)  Kshara karma - 02 seats, (iii) Balaroga - 02 seats, (iv) Netra Raga  Vigyan-  03  seats,  (v)  Prasuti  Evam  Strirog-  02 Seats     instead     of     03     seats,     (vi)     Ayurvedic pharmaceutics-       02       seats,       (vii)       Ayurvedic
Pharmacognosy & Standadization (Dravyaguna Vigyan)",70,63,17,88,85,0,"Conditional Permission (UG - 70 seats, PG - 63
seats without EWS) and (UG - 88 seats, PG - 85
seats including EWS) & (PG Diploma - 17  seats without EWS)"
41,AYU0118,Kerala,"Government Ayurveda College ,
P.O Pariyaram Medical College, Kannur-670503, Kerala",Government,"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course  and  29  Seats  (36  including  EWS)  in  05  PG courses namely (i) Roga Nidan avum Vikriti Vigyan-07 seats  (08  Seats  including  EWS)  (ii)  Rasashastra  &. Bhaisajya Kalpana-05 Seats (07 seats including EWS),
(iii)  Kriya  Sharir-07  Seats  (09  Seats  including  EWS)
(iv)  Shalya-05  Seats  (06  Seats  including  EWS),  (v) Shalakya-05    Seats    (06    seats    including    EWS) departments and one PG Diploma in Rog Nidan Vidhi (02  seats)  from  the  academic  session  2024-25  under
section 28 of NCISM Act, 2020",60,29,2,75,36,0,"Conditional Permission (UG - 60 seats, PG- 29
seats without EWS) and (UG - 75 seats, PG - 36
seats including EWS) & One PG Diploma"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
42,AYU0119,Kerala,"Amrita School of Ayurveda,
P.O Clappana, Taluk- Karunagappally,
Distt. Kollam-690525, Kerala",Deemed University (Private),"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course and 38 seats in 09 PG courses namely
(i) Ayurved Samhita, Sanskrit & Siddhanta-04 seats (ii) Dravyaguna  Vigyana-04  seats  (iii)  Rasa  Shastra  & Bhaisajya Kalpana-06 seats (iv) Prasuti & Stri Roga-04 seats  (v)  Panchakarma-04  seats  (vi)  Kayachikitsa-04 seats   (vii)   Shalakya   Tantra-04   seats   (viii)   Shalya Tantra-04   seats   (ix)   Swasthavritta-04   seats   under section  28  of  NCISM  Act,  2020  for  the  academic session    2024-25    and    issuance    of    Letter    of Permission  to  start  02  new  Post  Graduate  courses with 08 seats in  the  subjects  namely-  (i)  Roga Nidan Evam  Vikriti  Vigyana-  04  seats  (ii)  Kaumarbhritya- Balaroga - 04 seats from the academic session 2024- 25 under section 29 of NCISM Act, 2020",60,46,0,0,0,0,"Conditional Permission (UG - 60 seats, PG- 38
seats without EWS) and Issuance of Letter of Permission 02 new PG course with 08 seats"
43,AYU0123,Madhya Pradesh,"Government Autonomous Ayurved College,
Gwarighat, Jabalpur- 482001, Madhya Pradesh",Government,"Grant of conditional permission for intake capacity with
60  seats  (75  Seats  including  EWS)  in  UG  (BAMS) course   for   the   academic   session   2024-25,   under section 28 of NCISM Act, 2020",60,0,0,75,0,0,Conditional Permission after 1st Appeal (UG - 60 seats without EWS & UG - 75 seats including EWS)
44,AYU0128,Madhya Pradesh,"Shaskiya Swashasi Ashtanga Ayurved Mahavidyalaya, Lokmanay Nagar, Indore- 452009,
Madhya Pradesh",Government,"Grant of conditional permission for intake capacity with
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course   for   the   academic   session   2024-25,   under section 28 of NCISM Act, 2020",60,0,0,75,0,0,Conditional Permission after 1st Appeal (UG - 60 seats without EWS & UG - 75 seats including EWS)
45,AYU0131,Madhya Pradesh,"Shubhdeep Ayurved Medical College,
Gram- Datoda, Khandwa Road Teh. Mhow,
Near Chokhi Dhani Distt.- Indore-452020
Madhya Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
46,AYU0135,Madhya Pradesh,"Rajiv Gandhi Ayurvedic College & Hospital
E-8, Trilanga Colony Shahpura, Bhopal-462039,
Madhya Pradesh",Private,"Grant of Conditional Permission with intake capacity of
35  seats  {Instead  of  50 seats)  in UG  {BAMS)  course for the academic session 2024-25, under section 28 of NCISM Act,  2020 and relevant  regulations thereunder in  Compliance  to  the  Order  of  Hon'ble  High  Court  of Madhya  Pradesh  at  Jabalpur  in  WP  No.  24960/2024 dated 17.10.2024",35,0,0,0,0,0,Conditional Permission with seat reduction   (UG - 35 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
47,AYU0139,Madhya Pradesh,"Bhanwar Lal Nahata Samriti Sansthan,
MHOW- Neemuch Road, Bhanwar Lal Nahata Marg, Mandsaur Institute of Ayurved Education & Research, Mandsaur-458001, Madhya Pradesh",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
48,AYU0140,Maharashtra,"Bharti Vidyapeeth’s University, College of Ayurved, Bharati Vidyapeeth Educational Complex Pune,
Satara Road, Pune- 411043, Maharashtra",Deemed University (Private),"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and 57 seats in 14 PG  Courses in the subject namely- (i) Ayurveda Samhita and Siddhant - 04 seats (ii) Rachna Sharir-04 seats (iii) Kriya Sharir - 04 seats (iv)  Dravyaguna Vigyan  -  04 seats  (v) Rasa Shastra  avum  Bhaisajya  Kalpana-04  seats  (vi)  Rog Nidan avum Vikriti Vigyan- 03 seats (vii) Agad Tantra avem Vidhi Vaidakya-04 seats (viii) Swasthavritta- 05 seats  (ix)  Prasuti  Tantra  and  Stri  Rog-05  seats  (x) Kaumarbhritya  -  04  seats  (xi)  Kayachikitsa-05  seats
(xii) Shalakya Tantra - 04 seats (xiii) Panchkarma - 03 seats (xiv) Shalya Tantra - 04 seats and  10 Seats in 05 PG Diploma courses namely - (i) Panchkarma - 02 Seats (ii) Twak Roga - 02 Seats (iii) Prasuti evum Stri Roga 02 Seats (iv) Bala Roga - 02 Seats (v) Netraroga Vigyan - 02  Seats for  the  academic  session 2024-25, under section 28 of NCISM Act, 2020",100,57,10,0,0,0,"Conditional Permission  ( UG- 100 seats without EWS, PG - 57 seats without EWS) & 05 PG Diploma course"
49,AYU0141,Maharashtra,"Tilak Ayurved Mahavidyalaya, 583/2, Rasta Peth, Pune- 411011,
Maharashtra",Government aided,"Grant  of  conditional  permission  with  91  seats  (114 seats including EWS) [instead of 100 seats (125 seats including EWS)] in UG (BAMS) course and 57 seats in
14  PG  courses  in  the  subject  namely  (i)  Ayurveda Samhita & Siddhanta - 03 seats, (ii) Rachna Sharir - 05 seats,  (iii)  Kriya  Sharir  - 04  seats,  (iv)  Dravyaguna - 03  seats,  (v)  Rasashastra  &  Bhaishajya  Kalpana  -  05 seats,  (vi)  Rog Nidan  - 04  seats,  (vii)  Swasthvritta  & Yoga  -  02  seats,  (viii)  Agadtantra  -  04  seats,  (ix) Prasuti & Striroga - 04 seats, (x) Kaumarbhritya - 02 seats (xi) Kayachikitsa -06 seats, (xii) Shalya tantra - 07  seats,  (xiii)  Shalakya  tantra  -04  seats  and  (xiv) Panchakarma -04 seats for the academic session 2024- 25, under section 28 of NCISM Act, 2020",91,57,0,114,0,0,"Conditional Permission with seat Reduction  (UG- 91 seats, PG - 57 seats without EWS), (UG - 114 seats including EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
50,AYU0143,Maharashtra,"Ayurved Seva Sangh’s Ayurved Mahavidyalaya
Ganeshwadi Panchavati Tal. & Dist. Nashik- 422003, Maharashtra",Grant-in-aid,"Grant of Conditional Permission with 60 seats (75
seats  including  EWS)  in  UG  (BAMS)  course  and  10 seats  in  03  PG  courses  in  the  subject  namely  (i) Kayachikitsa - 05 seats (ii) Shalya tantra-04 seats (iii) Panchkarma - 01 seat for the academic session 2024- 25 under section 28 of NCISM Act, 2020",60,10,0,75,0,0,"Conditional Permission  ( UG- 60, PG - 10 seats without EWS, UG - 75 seats including EWS)"
51,AYU0144,Maharashtra,"Shri Gangadhar Shastri Gune Ayurved Mahavidyalaya, Vishrambaug, Dist. Ahmednagar 414001,
Maharashtra",Grant-in-aid,"Grant of Conditional permission for intake capacity with
50  seats  (63  seats  including  EWS)  in  UG  (BAMS) Course  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25 and issuance of Letter of Permission for increase in intake capacity in existing UG  (BAMS)  Course  from  50  seats  to  60  seats  under section  29  of  NCISM  Act,  2020  from  the  academic
session 2024-25",50,0,0,63,0,0,"Conditional Permission  ( UG- 50 seats without EWS, UG - 63 seats including EWS)"
52,AYU0145,Maharashtra,"Karamvir Vyanketrao Tanaji Randhir, Ayurved College, Boradi, Tal. Shirpur,   Dist. Dhule-425428, Maharashtra",Grant-in-aid,"Grant of Conditional Permission with 60 seats (75 seats including EWS) in UG (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,75,0,0,"Conditional Permission  ( UG- 60 seats without EWS, UG - 75 seats including EWS)"
53,AYU0146,Maharashtra,"Vasant Dada Patil Ayurved Medical College & Institute of Yoga, South Shivaji Nagar, Opposite Income Tax Office, Miraj Road, Tal. Miraj, Sangli- 416416, Maharashtra",Government aided,"Grant of Conditional Permission for 60 seats (75 seats including EWS) in UG (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,75,0,0,"Conditional Permission  ( UG- 60 seats without EWS, UG - 75 seats including EWS)"
54,AYU0147,Maharashtra,"Shri Vivekanand Nursing Home Trust’s Ayurved Mahavidyalaya Shri Shivaji Nagar, A/P- Rahuri Factory, Tal. Rahuri, Distt.
Ahmednagar-413706, Maharashtra",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  27  seats  in  06  PG  course  in  the subject  namely (i)  Kayachikitsa - 06 seats (ii) Prasuti Tantra and Stri Roga- 06 seats (iii) Shalya Tantra- 03 seats (iv) Rog Nidan avum Vikriti Vigyan- 04 seats (v) Shalakya   Tantra-  04  seats  (vi)   Rasa  Shastra  and Bhaishajiya Kalpna- 04 seats and 19 seats (instead of 21 seats) in 06 PG Diploma in the subject namely (i) Kshar  Karma-  03  seats  (instead  of  05  seats)  (ii) Ayurvedic Pharmaceutics- 02 seats (iii) Twak Roga - 05 seats  (iv)  Prasuti  Evum  Striroga  -  05  seats  (v)  Rog Nidan  Vidhi  (Diagnostic  techniques)-  02  seats  (vi) Netraroga  Vigyan-  02  seats  for  the  academic  session 2024-25 under section 28 of NCISM Act, 2020",60,27,19,0,0,0,"Conditional Permission (UG - 60 seats, PG - 27
seats without EWS) & PG Diploma - 19 seats"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
55,AYU0148,Maharashtra,"Maharashtra Arogya Mandal’s Sumati Bhai Shah Ayurved Mahavidyalaya, Malwadi Hadapsar, Tal: Haveli, Distt. Pune-411028, Maharashtra",Private,"Grant of conditional permission with 54 seats {instead of 60 seats) in UG (BAMS) course and 78 seats in 13 PG courses namely -i) Ayurveda Samhita and siddhant- 06  seats  (ii)  Kriya  Sharir-06  seats  (iii)  Rasa  Shastra and   Bhaisajya   Kalpana-06   seats   (iv)   Dravyaguna vigyana-06 seats (v) Rog Nidan avum Vikriti Vigyan-06 seats (vi) Agad Tantra avum Vidhi Vaidyaka- 06 seats (vii)
Swasthavritta- 06 seats (viii) Prasuti and Stri Roga- 06 seats (ix)  Kaumarbhritya-06  seats  (x) Kayachiktsa-06 seats (xi) Shalya Tantra-06 seats (xii) Shalakya Tantra 06  seats  and  (xiii)  Panchakarma-  06  seats  and  05 seats  in  01  PG  Diploma  course  in  the  subject namely Prasuti Evum Striroga for the academic session 2024-2025,  under  section  28  of  NCISM  Act,  2020  for
the academic year 2024-25.",54,78,5,0,0,0,"Conditional Permission with seat Reduction in UG (UG - 54 seats, PG - 78
seats without EWS) & 01 PG Diploma course"
56,AYU0149,Maharashtra,"Pune District Education Association’s, College of Ayurved & Research Centre, Sector No. 25, Pradhikaran, Akurdi, Nigadi, Tal. Haveli, Distt. Pune –411044, Maharashtra",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  68  seats  in  14  PG  course  in  the subject namely (i) Ayurveda Samhita & Siddhant - 02 seats (ii) Rachana Sharir - 06 seats (iii) Kriya Sharir - 06 seats (iv)  Dravyaguna Vigyan  -  02 seats  (v) Rasa Shastra  &  Bhaishajya  Kalpana  -  06  seats  (vi)  Rog Nidan evum vikriti vigyan - 06 seats (vii) Swasthavritta &  Yoga    -06  seats  (viii)  Agad  Tantra  avum  Vidhi Vaidyaka - 06 seats (ix) Prasuti & Stri Roga - 02 seats
(x) Kaumarbhritya  Bala  - 06 seats (xi)  Kayachikitsa - 06  seats  (xii)  Panchakarma  -  02  seats  (xiii)  Shalya Tantra  -  06  seats  (xiv)  Shalakya  -  06  seats  for  the academic session 2024-25 under section 28 of NCISM
Act, 2020",60,68,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 68
seats without EWS)"
57,AYU0155,Maharashtra,"Seth Chandanmal Mutha Aryangla Vaidyak Mahavidyalaya I.T.I Road, Gendamal,
Satara-415002, Maharashtra",Government aided,"Grant of Conditional Permission with 50 seats (63 seats including EWS)  in UG  (BAMS)  course  and 03  seats in 01  PG  course  in  the  subject  namely  Kayachikitsa-  03 seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",50,3,0,63,0,0,"Conditional Permission (UG - 50 seats, PG - 03
seats without EWS) & (UG
- 63 seats including EWS)"
58,AYU0156,Maharashtra,"Seth Govindji Raoji Ayurved College,
21-A/13, Budhwar Peth, Samrat Chowk,
Distt. Sholapur 413002, Maharashtra",Grant-in-aid,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  08  seats  in  02  PG  courses  in  the subject  namely  (i)  Kayachikitsa-  05  seats  (ii)  Prasuti Tantra & Stri Roga-03 seats for the  academic session 2024-25 under section 28 of NCISM Act, 2020",60,8,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 08
seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
59,AYU0157,Maharashtra,"Yashwant Ayurvedic College Post Graduate Training & Research Centre, At & P.O, Kodoli, Tal. Panhala,
Distt. Kolhapur-416114, Maharashtra",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and 90 seats in 14 PG  Courses in the subject  namely-  (i)  Ayurveda  Samhita,  Sanskrit  and Siddhant-06  seats  (ii)  Kriya  Sharir-06  seats  (iii)  Rasa Shastra    &    Bhaisajya    Kalpana    -06    seats    (iv) Dravyaguna   Vigyan-06  seats   (v)  Rog   Nidan  avum Vikriti  Vigyan  -06  seats  (vi)  Agad  Tantra  avum  Vidhi Vaidakya-06  seats  (vii)  Swasthavritta-06  seats  (viii) Prasuti     Tantra     and     StriRoga-06     seats     (ix) Kaumarbhritya-  BalaRoga  -06  seats  (x)  Kayachikitsa- 06 seats (xi) ShalyaTantra - 12 Seats (xii) Shalakya - 06   seats   (xiii)   Panchkarma-06   seats   (xiv)   Rachna Sharir  -  06  Seats  for  the  academic  session  2024-25 under section 28 of NCISM Act, 2020",100,90,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 90
seats without EWS)"
60,AYU0158,Maharashtra,"Hanuman Shikshan Prasarak Mandal Savarde’s Ayurvedic Medical College Peth, Vadgaon, Taluka-Hatkanangale ,
Dist. Kolhapur-416112, Maharashtra",Private,"Grant  of  Conditional  Permission  for  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
